Title,Creator,Category,Tags,Synopsis,Confidence,Episode Number,Episode Date,Edition,Source URL,Secondary URLs,Episode Video URL,Episode Blog URL
Automatic Dice Roller,Ruiz Bros.,project,,Automatic Dice Roller,low,75,2018-03-21,main,https://learn.adafruit.com/automatic-dice-roller/overview,,https://youtube.com/watch?v=Ze3CSV1SIqA,https://www.makerprojectlab.com/permanent-ink-maker-update-75/
DESKTOP CT AND 3D SCANNER WITH ARDUINO,jbumstead,project,arduino; furniture; imaging,Design for 3D printing.,high,75,2018-03-21,main,https://www.instructables.com/id/Desktop-CT-and-3D-Scanner-With-Arduino/,,https://youtube.com/watch?v=Ze3CSV1SIqA,https://www.makerprojectlab.com/permanent-ink-maker-update-75/
Ben Krasnow's CT Scanner,,project,imaging,Maker project combining electronics and design.,high,75,2018-03-21,main,https://www.youtube.com/watch?v=hF3V-GHiJ78,,https://youtube.com/watch?v=Ze3CSV1SIqA,https://www.makerprojectlab.com/permanent-ink-maker-update-75/
Agisoft Photoscan,,project,,Agisoft Photoscan,low,75,2018-03-21,main,http://www.agisoft.com/,,https://youtube.com/watch?v=Ze3CSV1SIqA,https://www.makerprojectlab.com/permanent-ink-maker-update-75/
Krink K-70 Permanent Ink Marker,,project,,Krink K-70 Permanent Ink Marker,low,75,2018-03-21,main,https://www.amazon.com/exec/obidos/ASIN/B003IDFPZG/ctmakerupdate-20,,https://youtube.com/watch?v=Ze3CSV1SIqA,https://www.makerprojectlab.com/permanent-ink-maker-update-75/
LiFePO4 Powered Pi Kit,,tip,energy,Component kit or collection for makers.,high,75,2018-03-21,main,https://www.tindie.com/products/xorbit/lifepo4weredpi/,,https://youtube.com/watch?v=Ze3CSV1SIqA,https://www.makerprojectlab.com/permanent-ink-maker-update-75/
AltCTRL GDC Showcase,,tip,,AltCTRL GDC Showcase,low,75,2018-03-21,main,http://www.gdconf.com/news/games-youll-play-gdc-2018s-alt-ctrl-gdc-showcase/,,https://youtube.com/watch?v=Ze3CSV1SIqA,https://www.makerprojectlab.com/permanent-ink-maker-update-75/
2018 Midwest RepRap Festival 3/23-25,,tip,,2018 Midwest RepRap Festival 3/23-25,low,75,2018-03-21,main,https://www.eventbrite.com/e/2018-midwest-reprap-festival-registration-38591937524,,https://youtube.com/watch?v=Ze3CSV1SIqA,https://www.makerprojectlab.com/permanent-ink-maker-update-75/
HUMMINGBIRD,gzumwalt,project,,HUMMINGBIRD,low,74,2018-03-14,main,https://www.instructables.com/id/Hummingbird/,,https://youtube.com/watch?v=_uy9Tkg2cis,https://www.makerprojectlab.com/barcelona-makers-update/
Metal Parts from 3D Prints,by M. Borgatti,tip,3d-printing; metal,"Tool, resource, or tip for makers.",high,74,2018-03-14,main,https://learn.adafruit.com/metal-parts-from-3d-prints,,https://youtube.com/watch?v=_uy9Tkg2cis,https://www.makerprojectlab.com/barcelona-makers-update/
Tinkercad Circuits Content,,tip,tinkercad,"Tool, resource, or tip for makers.",high,74,2018-03-14,main,https://www.instructables.com/id/Blink-an-LED-With-Arduino-in-Tinkercad/,,https://youtube.com/watch?v=_uy9Tkg2cis,https://www.makerprojectlab.com/barcelona-makers-update/
https://www.tinkercad.com/learn/projects#/learn/overview/O6QUTPNJDUKI7RD;collectionId=OMOZACHJ9IR8LRE,,tip,,https://www.tinkercad.com/learn/projects#/learn/overview/O6Q,low,74,2018-03-14,main,https://www.tinkercad.com/learn/projects#/learn/overview/O6QUTPNJDUKI7RD;collectionId=OMOZACHJ9IR8LRE,,https://youtube.com/watch?v=_uy9Tkg2cis,https://www.makerprojectlab.com/barcelona-makers-update/
2018 Midwest RepRap Festival 3/23-25,,tip,,2018 Midwest RepRap Festival 3/23-25,low,74,2018-03-14,main,https://www.eventbrite.com/e/2018-midwest-reprap-festival-registration-38591937524,,https://youtube.com/watch?v=_uy9Tkg2cis,https://www.makerprojectlab.com/barcelona-makers-update/
SplitFlap Display,scottbez1,project,display; gaming; pla,Digital display project with electronics.,high,73,2018-02-28,main,https://blog.hackster.io/split-flap-display-nearly-3-years-in-the-making-a73ed43add2d,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
https://imgur.com/a/0VAMZ,,project,,https://imgur.com/a/0VAMZ,low,73,2018-02-28,main,https://imgur.com/a/0VAMZ,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
https://github.com/scottbez1/splitflap,,project,,https://github.com/scottbez1/splitflap,low,73,2018-02-28,main,https://github.com/scottbez1/splitflap,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
28BYJ-48 5V Stepper Motors + ULN2003 Driver Board for Arduino,,project,arduino,Maker project combining electronics and design.,high,73,2018-02-28,main,http://amzn.to/2FzbchD,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
CR80 PVC Cards,,project,vehicles,Maker project combining electronics and design.,high,73,2018-02-28,main,http://amzn.to/2CKBp9X,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
Vinyl Letters,,project,,Vinyl Letters,low,73,2018-02-28,main,http://amzn.to/2GLMmKE,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
Jon-A-Tron's Split-Flap display,,project,display; gaming; pla,Digital display project with electronics.,high,73,2018-02-28,main,https://www.instructables.com/id/Split-Flap-Display/,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
I turned a Furby into an Amazon Echo,Zach Levine,project,,I turned a Furby into an Amazon Echo,low,73,2018-02-28,main,https://howchoo.com/g/otewzwmwnzb/amazon-echo-furby-using-raspberry-pi-furlexa,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
How to Disassemble a Furby,Zach Levine,project,,How to Disassemble a Furby,low,73,2018-02-28,main,https://howchoo.com/g/njhkzme1n2u/how-to-disassemble-furby,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
How to detect sound output in Linux and use it to call a program (or drive a motor!),Zach Levine,project,music,Musical instrument or audio project.,high,73,2018-02-28,main,https://howchoo.com/g/mmnhmti2zjz/how-to-detect-that-audio-is-currently-being-output-in-linux-and-use-it-to-call-a-program,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
"Joe Knows Electronics 1/4W Resistor Starter Kit (16 Values, 400 Pieces)",,project,,"Joe Knows Electronics 1/4W Resistor Starter Kit (16 Values""",low,73,2018-02-28,main,https://www.amazon.com/exec/obidos/ASIN/B06Y5Y76XX/ctmakerupdate-20,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
Joe Knows Electronics 1/4W 1% 86 Value 860 Piece Resistor Kit,,project,,Joe Knows Electronics 1/4W 1% 86 Value 860 Piece Resistor Ki,low,73,2018-02-28,main,https://www.amazon.com/exec/obidos/ASIN/B003UC4FSS/ctmakerupdate-20,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
"Joe Knows Electronics 630V X7R 10% Capacitor Kit (13 Values, 370 Pieces)",,project,,"Joe Knows Electronics 630V X7R 10% Capacitor Kit (13 Values""",low,73,2018-02-28,main,https://www.amazon.com/exec/obidos/ASIN/B06Y5FFHN8/ctmakerupdate-20,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
Joe Knows Electronics 33 Value 645 Piece Capacitor Kit,,project,,Joe Knows Electronics 33 Value 645 Piece Capacitor Kit,low,73,2018-02-28,main,https://www.amazon.com/exec/obidos/ASIN/B007SVHFXO/ctmakerupdate-20,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
Joe Knows Electronics Semiconductor Kit (320 Transistors & Diodes),,project,,Joe Knows Electronics Semiconductor Kit (320 Transistors & D,low,73,2018-02-28,main,https://www.amazon.com/exec/obidos/ASIN/B00GPZQ5B2/ctmakerupdate-20,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
Customizable Fan Grill Cover,mightynozzle,tip,,Customizable Fan Grill Cover,low,73,2018-02-28,main,https://www.thingiverse.com/thing:2802474,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
MagPi 67,,tip,,MagPi 67,low,73,2018-02-28,main,https://www.raspberrypi.org/magpi/issues/67/,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
Walnut Box Made with Utility Knife,MakeSomething,tip,wood,"Tool, resource, or tip for makers.",high,73,2018-02-28,main,https://www.youtube.com/watch?v=-_Lwd4l1Rpo,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
Project Instructable,,tip,furniture,"Tool, resource, or tip for makers.",high,73,2018-02-28,main,https://www.instructables.com/id/Walnut-Box-Made-With-Utility-Knife/,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
Live Talk With David from MakeSomething,,tip,,Live Talk With David from MakeSomething,low,73,2018-02-28,main,https://www.youtube.com/watch?v=7CEoVsbnyBs,,https://youtube.com/watch?v=WVafSAaSPNo,https://www.makerprojectlab.com/split-flap-attack-maker-update-73/
RGB Time Fountain,ISAAC CHASTEAU,project,kinetic-art; lighting,Maker project combining electronics and design.,high,72,2018-02-21,main,https://blog.arduino.cc/2018/02/19/levitate-water-drops-with-rgb-leds-and-arduino/,,https://youtube.com/watch?v=_ACPLlFtMd8,https://www.makerprojectlab.com/floating-water-maker-update-72/
https://github.com/isaac879/RGB-Time-Fountain,,project,,https://github.com/isaac879/RGB-Time-Fountain,low,72,2018-02-21,main,https://github.com/isaac879/RGB-Time-Fountain,,https://youtube.com/watch?v=_ACPLlFtMd8,https://www.makerprojectlab.com/floating-water-maker-update-72/
Skull Buttons,mikeasaurus,project,,Skull Buttons,low,72,2018-02-21,main,https://www.instructables.com/id/Skull-Buttons/,,https://youtube.com/watch?v=_ACPLlFtMd8,https://www.makerprojectlab.com/floating-water-maker-update-72/
EBL 18650 3.7V 3000mAh Li-ion Rechargeable Batteries,,project,,EBL 18650 3.7V 3000mAh Li-ion Rechargeable Batteries,low,72,2018-02-21,main,https://www.amazon.com/exec/obidos/ASIN/B00DNPT1D6/ctmakerupdate-20,,https://youtube.com/watch?v=_ACPLlFtMd8,https://www.makerprojectlab.com/floating-water-maker-update-72/
Charger,,project,,Charger,low,72,2018-02-21,main,https://www.amazon.com/exec/obidos/ASIN/B01MR2JJ1W/ctmakerupdate-20,,https://youtube.com/watch?v=_ACPLlFtMd8,https://www.makerprojectlab.com/floating-water-maker-update-72/
Holders,,project,,Holders,low,72,2018-02-21,main,https://www.amazon.com/exec/obidos/ASIN/B013DUOJV4/ctmakerupdate-20,,https://youtube.com/watch?v=_ACPLlFtMd8,https://www.makerprojectlab.com/floating-water-maker-update-72/
Hackspace Issue #4,,tip,space,Magazine or publication about making.,high,72,2018-02-21,main,https://hackspace.raspberrypi.org/issues,,https://youtube.com/watch?v=_ACPLlFtMd8,https://www.makerprojectlab.com/floating-water-maker-update-72/
Basic Servo Use With the Raspberry Pi and GpioZero,,tip,raspberry-pi,"Tool, resource, or tip for makers.",high,72,2018-02-21,main,https://www.raspberrypi-spy.co.uk/2018/02/basic-servo-use-with-the-raspberry-pi/,,https://youtube.com/watch?v=_ACPLlFtMd8,https://www.makerprojectlab.com/floating-water-maker-update-72/
Twang Joystick,Bart Dring,tip,,Twang Joystick,low,72,2018-02-21,main,https://github.com/Critters/TWANG,,https://youtube.com/watch?v=_ACPLlFtMd8,https://www.makerprojectlab.com/floating-water-maker-update-72/
Twang Kit on Tindie,,tip,,Twang Kit on Tindie,low,72,2018-02-21,main,https://www.tindie.com/products/33366583/twang-shield-kit/,,https://youtube.com/watch?v=_ACPLlFtMd8,https://www.makerprojectlab.com/floating-water-maker-update-72/
Jim's Guide to Arduino Animatronics,,tip,arduino,Tutorial or how-to guide for makers.,high,72,2018-02-21,main,https://youtu.be/8oh_uvJ9mG4,,https://youtube.com/watch?v=_ACPLlFtMd8,https://www.makerprojectlab.com/floating-water-maker-update-72/
https://youtu.be/Cm8dbQKGaRU,,tip,,https://youtu.be/Cm8dbQKGaRU,low,72,2018-02-21,main,https://youtu.be/Cm8dbQKGaRU,,https://youtube.com/watch?v=_ACPLlFtMd8,https://www.makerprojectlab.com/floating-water-maker-update-72/
Becky Talks To Me About Her Arduino Social Stats Tracker,,tip,arduino,"Tool, resource, or tip for makers.",high,72,2018-02-21,main,https://youtu.be/vscEXCqtoEk,,https://youtube.com/watch?v=_ACPLlFtMd8,https://www.makerprojectlab.com/floating-water-maker-update-72/
A Curious Contraption,Nicole Catrett,project,,A Curious Contraption,low,71,2018-02-14,main,https://wonderfulidea.co/blog/2018/2/6/a-curious-contraption,,https://youtube.com/watch?v=ITWzOp9rXD4,https://www.makerprojectlab.com/contraptions-qr-coasters-maker-update-71/
QR COASTERS,mikeasaurus,project,,QR COASTERS,low,71,2018-02-14,main,https://www.instructables.com/id/QR-Coasters/,,https://youtube.com/watch?v=ITWzOp9rXD4,https://www.makerprojectlab.com/contraptions-qr-coasters-maker-update-71/
"Retractable Corrugated Cardboard Cutter ""Slide Dan Chan"" Green (DC-25)",,project,cardboard; furniture; vehicles,Project cut with laser cutter.,high,71,2018-02-14,main,https://www.amazon.com/exec/obidos/ASIN/B004C5IVUA/ctmakerupdate-20,,https://youtube.com/watch?v=ITWzOp9rXD4,https://www.makerprojectlab.com/contraptions-qr-coasters-maker-update-71/
Non-Stick Replacement Blades (2-pack),,project,pla,Maker project combining electronics and design.,high,71,2018-02-14,main,https://www.amazon.com/exec/obidos/ASIN/B00GJKE66E/ctmakerupdate-20,,https://youtube.com/watch?v=ITWzOp9rXD4,https://www.makerprojectlab.com/contraptions-qr-coasters-maker-update-71/
"Original Corrugated Cardboard Cutter ""Dan Chan"" [Fluorine Coating]",,project,cardboard; vehicles,Project cut with laser cutter.,high,71,2018-02-14,main,https://www.amazon.com/exec/obidos/ASIN/B008RIS0UY/ctmakerupdate-20,,https://youtube.com/watch?v=ITWzOp9rXD4,https://www.makerprojectlab.com/contraptions-qr-coasters-maker-update-71/
Gear Generator,,tip,,Gear Generator,low,71,2018-02-14,main,http://geargenerator.com/,,https://youtube.com/watch?v=ITWzOp9rXD4,https://www.makerprojectlab.com/contraptions-qr-coasters-maker-update-71/
EMSL Valentines,,tip,retro-tech,"Tool, resource, or tip for makers.",high,71,2018-02-14,main,https://www.evilmadscientist.com/2018/valentines6/,,https://youtube.com/watch?v=ITWzOp9rXD4,https://www.makerprojectlab.com/contraptions-qr-coasters-maker-update-71/
How to 3D Print on Fabric for Cosplay,Uncle Jessy,tip,3d-printing; cosplay; fabric; gaming; pla,"Tool, resource, or tip for makers.",high,71,2018-02-14,main,https://makezine.com/2018/02/12/3d-print-fabric/,,https://youtube.com/watch?v=ITWzOp9rXD4,https://www.makerprojectlab.com/contraptions-qr-coasters-maker-update-71/
https://youtu.be/CjH5KGw3Psw,,tip,,https://youtu.be/CjH5KGw3Psw,low,71,2018-02-14,main,https://youtu.be/CjH5KGw3Psw,,https://youtube.com/watch?v=ITWzOp9rXD4,https://www.makerprojectlab.com/contraptions-qr-coasters-maker-update-71/
My Talk with Jon-A-Tron,,tip,,My Talk with Jon-A-Tron,low,71,2018-02-14,main,https://youtu.be/aJupFzOTpKs,,https://youtube.com/watch?v=ITWzOp9rXD4,https://www.makerprojectlab.com/contraptions-qr-coasters-maker-update-71/
Mini Boat,Josh Tulberg,project,,Mini Boat,low,70,2018-02-07,main,https://www.instructables.com/id/Mini-Boat/,,https://youtube.com/watch?v=uxYNvsErmYA,https://www.makerprojectlab.com/laser-cut-mini-boat-maker-update-70/
http://rapidwhale.com/mini-boat.php,,project,,http://rapidwhale.com/mini-boat.php,low,70,2018-02-07,main,http://rapidwhale.com/mini-boat.php,,https://youtube.com/watch?v=uxYNvsErmYA,https://www.makerprojectlab.com/laser-cut-mini-boat-maker-update-70/
"Inspired by 8-Foot ""Little Miss Sally""",Paul Elkins,project,,"Inspired by 8-Foot """"Little Miss Sally""""""""",low,70,2018-02-07,main,https://smallboatsmonthly.com/article/little-miss-sally/,,https://youtube.com/watch?v=uxYNvsErmYA,https://www.makerprojectlab.com/laser-cut-mini-boat-maker-update-70/
M&M Sorter,Karl Lautman,project,,M&M Sorter,low,70,2018-02-07,main,https://hackaday.io/project/34279-el-jefe-de-mms,,https://youtube.com/watch?v=uxYNvsErmYA,https://www.makerprojectlab.com/laser-cut-mini-boat-maker-update-70/
https://hackaday.com/2018/02/01/sculptural-grade-mm-sorter/,,project,,https://hackaday.com/2018/02/01/sculptural-grade-mm-sorter/,low,70,2018-02-07,main,https://hackaday.com/2018/02/01/sculptural-grade-mm-sorter/,,https://youtube.com/watch?v=uxYNvsErmYA,https://www.makerprojectlab.com/laser-cut-mini-boat-maker-update-70/
Makita B-35097 Impact Gold Ultra-Magnetic Torsion Insert Bit Holder,,project,,Makita B-35097 Impact Gold Ultra-Magnetic Torsion Insert Bit,low,70,2018-02-07,main,https://www.amazon.com/exec/obidos/ASIN/B00ECMC1F4/ctmakerupdate-20,,https://youtube.com/watch?v=uxYNvsErmYA,https://www.makerprojectlab.com/laser-cut-mini-boat-maker-update-70/
DEWALT DWARA100 Right Angle Attachment,,project,,DEWALT DWARA100 Right Angle Attachment,low,70,2018-02-07,main,https://www.amazon.com/exec/obidos/ASIN/B00C0VSNKQ/ctmakerupdate-20,,https://youtube.com/watch?v=uxYNvsErmYA,https://www.makerprojectlab.com/laser-cut-mini-boat-maker-update-70/
Tinkercad 3.9 (1/30/18 release) New content in Circuits editor,,tip,tinkercad,"Tool, resource, or tip for makers.",high,70,2018-02-07,main,https://www.tinkercad.com/#/?type=circuits&collection=designs,,https://youtube.com/watch?v=uxYNvsErmYA,https://www.makerprojectlab.com/laser-cut-mini-boat-maker-update-70/
https://twitter.com/scientiffic/status/959204623599812608?refsrc=email&s=11&ref_src=twcamp%5Eshare%7Ctwsrc%5Eios%7Ctwgr%5Eemail,,tip,,https://twitter.com/scientiffic/status/959204623599812608?re,low,70,2018-02-07,main,https://twitter.com/scientiffic/status/959204623599812608?refsrc=email&s=11&ref_src=twcamp%5Eshare%7Ctwsrc%5Eios%7Ctwgr%5Eemail,,https://youtube.com/watch?v=uxYNvsErmYA,https://www.makerprojectlab.com/laser-cut-mini-boat-maker-update-70/
"T-Pin Probes, Shop Fans, Clamping with Glue, and Using Digital Calipers",Gareth Branwyn,tip,lighting,"Tool, resource, or tip for makers.",high,70,2018-02-07,main,https://makezine.com/2018/02/02/tips-of-the-week-21/,,https://youtube.com/watch?v=uxYNvsErmYA,https://www.makerprojectlab.com/laser-cut-mini-boat-maker-update-70/
4 Carpentry Tips Every Beginner Should Know,See Jane Drill,tip,vehicles; woodworking,"Tool, resource, or tip for makers.",high,70,2018-02-07,main,https://www.youtube.com/watch?v=IMZI5-P8TWQ,,https://youtube.com/watch?v=uxYNvsErmYA,https://www.makerprojectlab.com/laser-cut-mini-boat-maker-update-70/
Raspberry Jam Big Birthday Weekend,,tip,,Raspberry Jam Big Birthday Weekend,low,70,2018-02-07,main,https://www.raspberrypi.org/jam/big-birthday-weekend/,,https://youtube.com/watch?v=uxYNvsErmYA,https://www.makerprojectlab.com/laser-cut-mini-boat-maker-update-70/
March 3-4,,tip,,"Tool, resource, or tip for makers.",low,70,2018-02-07,main,,,https://youtube.com/watch?v=uxYNvsErmYA,https://www.makerprojectlab.com/laser-cut-mini-boat-maker-update-70/
Make: magazine Senior Editor Caleb Kraft guest picks,,project,cardboard,Maker project combining electronics and design.,high,69,2018-01-31,main,Caleb's YouTube Channel: https://www.youtube.com/channel/UC7hyWNWuPj0_Da4rM3-hW4A,,https://youtube.com/watch?v=5vVHJ6viD08,https://www.makerprojectlab.com/kerbal-space-program-controller-maker-update-69/
KerbalController a Custom Control Panel,Hugo Peeters,project,,KerbalController a Custom Control Panel,low,69,2018-01-31,main,https://makezine.com/2018/01/25/kerbal-custom-console/,,https://youtube.com/watch?v=5vVHJ6viD08,https://www.makerprojectlab.com/kerbal-space-program-controller-maker-update-69/
Light Organ LED Dress v2,Mirromaru,project,ai; lighting,Digital display project with electronics.,high,69,2018-01-31,main,http://mirromaru.tumblr.com/post/146663592250/the-led-dress-in-action-3-hardware-is-an-adafruit,,https://youtube.com/watch?v=5vVHJ6viD08,https://www.makerprojectlab.com/kerbal-space-program-controller-maker-update-69/
http://mirromaru.tumblr.com/post/169348381496/just-as-a-quick-write-down-of-my-color-organ-dress,,project,,http://mirromaru.tumblr.com/post/169348381496/just-as-a-quic,low,69,2018-01-31,main,http://mirromaru.tumblr.com/post/169348381496/just-as-a-quick-write-down-of-my-color-organ-dress,,https://youtube.com/watch?v=5vVHJ6viD08,https://www.makerprojectlab.com/kerbal-space-program-controller-maker-update-69/
Laundry Detergent Cup Drain,davwilso,project,,Laundry Detergent Cup Drain,low,69,2018-01-31,main,https://www.thingiverse.com/thing:2748680,,https://youtube.com/watch?v=5vVHJ6viD08,https://www.makerprojectlab.com/kerbal-space-program-controller-maker-update-69/
"5"" Sanding Mouse for Orbital Sanding Discs",,project,space,Maker project combining electronics and design.,high,69,2018-01-31,main,https://www.amazon.com/exec/obidos/ASIN/B00HJBSHG2/ctmakerupdate-20,,https://youtube.com/watch?v=5vVHJ6viD08,https://www.makerprojectlab.com/kerbal-space-program-controller-maker-update-69/
As recommended,Nick Offerman,project,,As recommended,low,69,2018-01-31,main,https://www.youtube.com/watch?v=Gh6H7Md_L2k,,https://youtube.com/watch?v=5vVHJ6viD08,https://www.makerprojectlab.com/kerbal-space-program-controller-maker-update-69/
"Lego Mold Boxes, Know Your Screws, and Yet More Glue Tips and Tricks",Gareth Branwyn,tip,casting,"Tool, resource, or tip for makers.",high,69,2018-01-31,main,https://makezine.com/2018/01/26/tips-of-the-week-lego-mold-boxes-know-your-screws-and-yet-more-glue-tricks/,,https://youtube.com/watch?v=5vVHJ6viD08,https://www.makerprojectlab.com/kerbal-space-program-controller-maker-update-69/
Adafruit Feather 328P,,tip,,Adafruit Feather 328P,low,69,2018-01-31,main,https://learn.adafruit.com/adafruit-feather-328p-atmega328-atmega328p,,https://youtube.com/watch?v=5vVHJ6viD08,https://www.makerprojectlab.com/kerbal-space-program-controller-maker-update-69/
MagPi Issue #66 Now Available,,tip,,MagPi Issue #66 Now Available,low,69,2018-01-31,main,https://www.raspberrypi.org/magpi/issues/66/,,https://youtube.com/watch?v=5vVHJ6viD08,https://www.makerprojectlab.com/kerbal-space-program-controller-maker-update-69/
HackSpace Issue #3 Now Available,,tip,space,Magazine or publication about making.,high,69,2018-01-31,main,https://hackspace.raspberrypi.org/issues,,https://youtube.com/watch?v=5vVHJ6viD08,https://www.makerprojectlab.com/kerbal-space-program-controller-maker-update-69/
How to lift a banana: a guide to motors in robotics,Simon BDY,tip,robotics,Tutorial or how-to guide for makers.,high,69,2018-01-31,main,https://medium.com/pollenrobotics/how-to-lift-a-banana-a-guide-to-robotic-motors-62c1746153f0,,https://youtube.com/watch?v=5vVHJ6viD08,https://www.makerprojectlab.com/kerbal-space-program-controller-maker-update-69/
MFBA Call for Makers,,tip,,MFBA Call for Makers,low,69,2018-01-31,main,https://makerfaire.com/bay-area/call-for-makers/,,https://youtube.com/watch?v=5vVHJ6viD08,https://www.makerprojectlab.com/kerbal-space-program-controller-maker-update-69/
Thermal Camera with Display,Ruiz Bros.,project,display; gaming; imaging; pla,Digital display project with electronics.,high,68,2018-01-24,main,https://learn.adafruit.com/thermal-camera-with-display,,https://youtube.com/watch?v=E2GSqR3HOL0,https://www.makerprojectlab.com/nintendos-cardboard-kits-maker-update-68/
TuneFast Harp,makefast,project,,TuneFast Harp,low,68,2018-01-24,main,https://www.thingiverse.com/thing:2709667,,https://youtube.com/watch?v=E2GSqR3HOL0,https://www.makerprojectlab.com/nintendos-cardboard-kits-maker-update-68/
Neiko 03044A Mini Ratcheting Screwdriver and Bit Set,,project,,Neiko 03044A Mini Ratcheting Screwdriver and Bit Set,low,68,2018-01-24,main,https://www.amazon.com/exec/obidos/ASIN/B000XYOUS6/ctmakerupdate-20,,https://youtube.com/watch?v=E2GSqR3HOL0,https://www.makerprojectlab.com/nintendos-cardboard-kits-maker-update-68/
